airbnb_listing_id,adr,price_median,price_std,n_dates,first_date,last_date,period_days,occupancy_proxy,est_annual_revenue,est_revenue_observed_period
31284638,932.0689655172414,990.0,181.83904159700523,87,2025-01-31,2025-04-19,79,1.0,340205.1724137931,81090.0
31380471,890.7798387096774,800.0,277.15774051626636,186,2025-01-16,2025-04-20,95,1.0,325134.64112903224,165685.05
31397917,2173.3333333333335,250.0,7421.418488466499,15,2025-01-30,2025-03-18,48,0.3125,247895.83333333337,32600.000000000004
31430342,463.9830508474576,450.0,52.52691970770919,59,2025-02-08,2025-04-07,59,1.0,169353.81355932204,27375.0
31441134,1514.7666666666667,1500.0,74.26790550237364,180,2025-01-07,2025-04-19,103,1.0,552889.8333333334,272658.0
31454750,544.4661016949152,479.0,173.9777195727122,59,2025-01-20,2025-04-05,76,0.7763157894736842,154277.33552631576,32123.499999999996
31511990,483.43023255813955,500.0,28.458242142262296,86,2025-01-25,2025-04-20,86,1.0,176452.03488372095,41575.0
31530689,707.6032863849765,700.0,36.81556067774404,213,2025-01-17,2025-04-20,94,1.0,258275.19953051643,150719.5
31543199,772.5166666666667,700.0,177.12332510231164,105,2025-02-27,2025-04-20,53,1.0,281968.5833333333,81114.25
31560419,421.22222222222223,449.0,44.99913464034684,108,2025-02-04,2025-04-19,75,1.0,153746.11111111112,45492.0
31682871,320.59999983333336,290.0,65.77934465673597,120,2025-01-30,2025-03-31,61,1.0,117018.99993916668,38471.99998
31859744,506.83673469387753,500.0,154.00031261224015,196,2025-02-03,2025-04-20,77,1.0,184995.4081632653,99340.0
31945494,575.6151509090909,630.0,216.2980170447837,165,2025-02-03,2025-04-17,74,1.0,210099.53008181817,94976.4999
31972121,344.06779661016947,350.0,36.64577616286232,59,2025-01-30,2025-04-06,67,0.8805970149253731,110589.55223880596,20300.0
32134287,652.1904761904761,750.0,109.98811285064043,84,2025-01-07,2025-04-07,91,0.9230769230769231,219738.02197802198,54784.0
32185033,1263.9423076923076,1300.0,356.183704836057,104,2025-01-25,2025-04-14,80,1.0,461338.94230769225,131450.0
32234626,402.36842105263156,380.0,36.59819893119213,38,2025-02-03,2025-04-06,63,0.6031746031746031,88584.92063492064,15290.0
32371924,517.3055555555555,488.0,70.6374673929283,72,2025-01-25,2025-04-19,85,0.8470588235294118,159938.70588235295,37246.0
32443120,512.3974353846154,529.0,28.62881436311345,13,2025-02-25,2025-03-09,13,1.0,187025.0639153846,6661.16666
32486859,911.2829457364342,899.0,98.51381654686743,129,2025-01-10,2025-04-16,97,1.0,332618.2751937985,117555.5
32585103,449.6962962962963,600.0,163.69676525921173,135,2025-01-28,2025-04-15,78,1.0,164139.14814814815,60709.0
32592683,1149.5551181102362,1000.0,321.25493003657283,127,2025-01-22,2025-04-20,89,1.0,419587.6181102362,145993.5
32600458,590.5906664,511.1111,146.82646823338715,125,2025-01-19,2025-04-16,88,1.0,215565.59323600002,73823.8333
32606991,577.372340212766,550.83335,89.81119500968298,188,2025-01-24,2025-04-20,87,1.0,210740.90417765957,108545.99996
32697747,361.99803882352944,350.0,75.94346451030846,34,2025-01-29,2025-04-07,69,0.4927536231884058,65107.183504347835,12307.93332
32766950,320.8333333333333,300.0,61.74185563771673,48,2025-01-21,2025-04-20,90,0.5333333333333333,62455.55555555555,15400.0
32990586,1008.7724360576923,1026.0,117.32709016939111,208,2025-01-26,2025-04-20,85,1.0,368201.9391610577,209824.6667
33336758,454.379539009901,452.0,122.82740270258759,101,2025-02-12,2025-04-06,54,1.0,165848.53173861388,45892.33344
34218930,760.988831292517,628.5,208.78704762054818,147,2025-01-27,2025-04-19,83,1.0,277760.9234217687,111865.3582
34540951,605.4028571428571,558.0,181.07268458275786,175,2025-01-30,2025-04-20,81,1.0,220972.04285714283,105945.5
